issueKey,type,createdDateEpoch,resolvedDateEpoch
FLINK-7005,Bug,2017-06-26 18:35:20,2017-06-27 21:15:36
FLINK-7006,Sub-task,2017-06-26 22:31:13,2017-07-06 18:18:34
FLINK-7007,Sub-task,2017-06-26 22:57:28,2017-06-28 17:02:04
FLINK-7008,Improvement,2017-06-27 03:18:47,2017-06-30 03:42:38
FLINK-7009,Improvement,2017-06-27 07:04:35,
FLINK-7010,Bug,2017-06-27 10:37:48,2017-06-27 17:17:17
FLINK-7011,Bug,2017-06-27 15:04:28,2017-07-01 20:22:23
FLINK-7012,Bug,2017-06-27 18:13:33,2017-07-03 21:47:54
FLINK-7013,Sub-task,2017-06-27 19:18:53,2017-06-28 17:00:04
FLINK-7014,Improvement,2017-06-27 20:44:50,2017-06-29 10:56:46
FLINK-7015,Improvement,2017-06-27 21:05:44,
FLINK-7016,Improvement,2017-06-27 21:12:18,
FLINK-7017,Improvement,2017-06-27 21:13:45,2017-07-12 01:46:33
FLINK-7018,Improvement,2017-06-27 21:20:40,
FLINK-7019,Sub-task,2017-06-27 23:18:42,2017-07-11 22:14:58
FLINK-7020,Improvement,2017-06-28 00:09:39,2017-06-28 00:13:33
FLINK-7021,Bug,2017-06-28 07:43:15,2017-10-19 20:59:33
FLINK-7022,Bug,2017-06-28 07:53:35,2019-10-11 17:57:18
FLINK-7023,Sub-task,2017-06-28 10:53:47,2017-07-06 18:18:02
FLINK-7024,Bug,2017-06-28 12:57:46,2019-01-30 17:49:01
FLINK-7025,Bug,2017-06-28 14:09:54,2017-06-30 06:18:54
FLINK-7026,Sub-task,2017-06-28 19:06:16,2017-06-29 03:46:51
FLINK-7027,Sub-task,2017-06-28 19:32:55,2017-08-07 21:20:23
FLINK-7028,Sub-task,2017-06-28 19:33:13,2017-08-10 19:24:17
FLINK-7029,Improvement,2017-06-28 19:44:53,
FLINK-7030,Improvement,2017-06-28 21:15:20,2017-07-01 18:14:29
FLINK-7031,New Feature,2017-06-29 02:13:32,
FLINK-7032,Improvement,2017-06-29 02:29:25,2017-07-04 15:35:26
FLINK-7033,Improvement,2017-06-29 02:31:44,
FLINK-7034,Bug,2017-06-29 04:11:53,2017-07-13 17:32:47
FLINK-7035,Bug,2017-06-29 08:56:33,
FLINK-7036,Bug,2017-06-29 17:13:24,2017-11-14 20:59:49
FLINK-7037,Bug,2017-06-29 17:24:34,2017-07-05 01:12:22
FLINK-7038,Bug,2017-06-29 18:26:03,2017-07-06 12:30:34
FLINK-7039,Bug,2017-06-29 18:36:35,2017-07-04 20:41:05
FLINK-7040,New Feature,2017-06-29 20:30:25,
FLINK-7041,Bug,2017-06-30 00:39:11,2017-07-06 12:31:21
FLINK-7042,Bug,2017-06-30 00:48:45,2017-07-07 23:48:55
FLINK-7043,Sub-task,2017-06-30 01:03:22,2018-06-05 21:46:57
FLINK-7044,Improvement,2017-06-30 01:08:47,2017-07-06 22:19:23
FLINK-7045,Improvement,2017-06-30 02:55:09,2017-07-06 05:24:33
FLINK-7046,Improvement,2017-06-30 04:48:45,2017-07-01 18:14:55
FLINK-7047,Improvement,2017-06-30 05:10:58,2017-07-13 03:59:19
FLINK-7048,Improvement,2017-06-30 05:15:41,2017-07-01 18:14:42
FLINK-7049,Test,2017-06-30 06:12:36,2018-01-13 13:07:17
FLINK-7050,Improvement,2017-06-30 17:32:32,
FLINK-7051,New Feature,2017-06-30 21:27:50,2017-11-16 21:30:36
FLINK-7052,Sub-task,2017-06-30 22:13:50,2017-07-12 01:47:24
FLINK-7053,Sub-task,2017-06-30 22:27:22,2017-08-07 18:06:04
FLINK-7054,Sub-task,2017-06-30 22:28:56,2017-08-08 22:15:17
FLINK-7055,Sub-task,2017-06-30 22:30:58,2017-08-14 17:18:51
FLINK-7056,Sub-task,2017-06-30 22:34:38,2017-08-14 17:18:33
FLINK-7057,Sub-task,2017-06-30 22:51:54,2017-08-18 15:39:17
FLINK-7058,Bug,2017-07-01 00:59:27,2017-07-24 16:52:11
FLINK-7059,Bug,2017-07-01 01:12:48,2017-10-12 19:43:04
FLINK-7060,Improvement,2017-07-01 01:52:03,
FLINK-7061,Bug,2017-07-02 13:09:45,2017-07-05 19:06:42
FLINK-7062,Sub-task,2017-07-03 11:26:04,2018-11-09 19:57:35
FLINK-7063,Bug,2017-07-03 17:44:27,2017-07-10 22:42:48
FLINK-7064,Bug,2017-07-03 17:54:15,2018-07-17 16:30:47
FLINK-7065,Improvement,2017-07-03 18:03:58,
FLINK-7066,Bug,2017-07-03 19:54:56,2017-07-03 20:29:34
FLINK-7067,Bug,2017-07-03 20:07:11,2018-03-12 23:17:50
FLINK-7068,Sub-task,2017-07-03 20:53:29,2017-10-06 17:46:01
FLINK-7069,Improvement,2017-07-03 21:46:05,2017-07-11 20:39:40
FLINK-7070,Improvement,2017-07-03 21:59:47,2017-07-04 20:36:47
FLINK-7071,Sub-task,2017-07-04 05:28:53,2017-08-26 17:13:48
FLINK-7072,Sub-task,2017-07-04 05:33:38,2017-08-26 17:13:16
FLINK-7073,Task,2017-07-04 05:37:50,2019-10-25 17:36:41
FLINK-7074,Sub-task,2017-07-04 05:58:56,2017-07-05 19:30:59
FLINK-7075,New Feature,2017-07-04 06:04:49,2018-07-13 14:37:25
FLINK-7076,Sub-task,2017-07-04 06:09:09,2017-11-08 22:53:39
FLINK-7077,Sub-task,2017-07-04 06:12:36,2017-08-19 23:36:35
FLINK-7078,Sub-task,2017-07-04 06:23:05,2017-09-04 05:38:07
FLINK-7079,New Feature,2017-07-04 06:27:58,2019-10-25 17:38:58
FLINK-7080,Sub-task,2017-07-04 06:30:31,2017-07-31 01:46:17
FLINK-7081,Sub-task,2017-07-04 06:32:56,2019-10-25 17:38:48
FLINK-7082,Bug,2017-07-04 06:40:58,2017-07-27 07:25:52
FLINK-7083,New Feature,2017-07-04 06:46:15,2017-10-23 14:26:40
FLINK-7084,Test,2017-07-04 14:17:40,2019-05-09 16:02:44
FLINK-7085,Sub-task,2017-07-04 14:23:15,2019-05-09 16:02:13
FLINK-7086,Sub-task,2017-07-04 14:27:04,2017-07-28 00:37:08
FLINK-7087,Improvement,2017-07-04 14:30:34,2019-10-25 17:24:38
FLINK-7088,Sub-task,2017-07-04 14:34:47,
FLINK-7089,Sub-task,2017-07-04 14:35:12,
FLINK-7090,Sub-task,2017-07-04 14:35:47,
FLINK-7091,Sub-task,2017-07-04 14:36:25,
FLINK-7092,Sub-task,2017-07-04 14:38:23,2017-07-29 00:19:18
FLINK-7093,Sub-task,2017-07-04 14:41:25,2017-07-05 18:25:19
FLINK-7094,Sub-task,2017-07-04 15:52:31,2017-08-03 16:30:24
FLINK-7095,Sub-task,2017-07-04 18:19:07,2018-07-13 14:30:22
FLINK-7096,Bug,2017-07-04 18:22:33,2017-10-23 14:25:27
FLINK-7097,Sub-task,2017-07-04 18:23:21,2017-07-05 19:34:23
FLINK-7098,Sub-task,2017-07-04 18:25:26,2017-07-28 00:36:35
FLINK-7099,Improvement,2017-07-04 19:16:13,2017-07-10 20:24:37
FLINK-7100,Bug,2017-07-04 19:52:48,2017-11-02 06:28:28
FLINK-7101,Bug,2017-07-04 20:36:10,2017-07-17 22:34:36
FLINK-7102,Bug,2017-07-04 23:49:25,2017-07-19 22:52:39
FLINK-7103,Sub-task,2017-07-05 00:04:52,2017-07-12 01:47:05
FLINK-7104,Bug,2017-07-05 10:25:15,2017-07-05 15:17:51
FLINK-7105,Improvement,2017-07-05 19:37:48,2017-11-08 22:33:00
FLINK-7106,Improvement,2017-07-06 03:05:48,2019-10-25 17:40:09
FLINK-7107,Sub-task,2017-07-06 05:44:12,2017-08-09 17:59:20
FLINK-7108,Sub-task,2017-07-06 05:46:38,2017-07-28 21:38:20
FLINK-7109,Improvement,2017-07-06 06:58:20,2017-07-06 23:01:40
FLINK-7110,Sub-task,2017-07-06 15:29:14,2017-07-27 07:26:11
FLINK-7111,Bug,2017-07-06 16:48:01,2017-07-11 17:12:53
FLINK-7112,Bug,2017-07-06 17:40:55,2017-07-06 21:38:52
FLINK-7113,Sub-task,2017-07-06 20:00:05,2017-07-27 07:24:57
FLINK-7114,Bug,2017-07-06 23:14:29,2017-07-07 20:47:57
FLINK-7115,Bug,2017-07-06 23:30:27,2017-07-31 01:56:03
FLINK-7116,Sub-task,2017-07-07 05:41:52,2017-07-07 05:58:21
FLINK-7117,Sub-task,2017-07-07 06:30:28,2017-07-07 07:00:14
FLINK-7118,Improvement,2017-07-07 09:18:25,2017-07-29 00:23:08
FLINK-7119,Sub-task,2017-07-07 09:35:43,2017-07-07 20:48:14
FLINK-7120,Sub-task,2017-07-07 10:00:13,2017-07-07 20:48:21
FLINK-7121,Sub-task,2017-07-07 10:08:44,2017-07-07 20:48:27
FLINK-7122,Bug,2017-07-07 11:09:18,2019-10-25 17:41:14
FLINK-7123,Bug,2017-07-07 14:00:39,2017-08-23 02:08:40
