issueKey,type,createdDateEpoch,resolvedDateEpoch
HADOOP-5400,Bug,2009-03-05 04:29:54,2009-03-05 12:58:05
HADOOP-5401,Bug,2009-03-05 04:47:42,2009-03-06 04:47:11
HADOOP-5402,Bug,2009-03-05 07:40:58,2014-07-22 05:28:53
HADOOP-5404,Improvement,2009-03-05 09:01:28,2012-02-18 06:06:20
HADOOP-5405,New Feature,2009-03-05 10:18:09,2011-08-12 02:06:02
HADOOP-5406,Bug,2009-03-05 11:14:45,2009-05-05 07:43:31
HADOOP-5409,Improvement,2009-03-06 01:00:05,2009-03-06 05:39:31
HADOOP-5411,Improvement,2009-03-06 03:22:43,2009-03-10 00:51:36
HADOOP-5412,Bug,2009-03-06 05:35:54,2009-03-12 05:29:27
HADOOP-5414,Bug,2009-03-06 07:48:27,2009-03-17 07:18:46
HADOOP-5416,Bug,2009-03-06 08:41:30,2009-03-11 06:38:30
HADOOP-5417,Bug,2009-03-06 08:47:55,2009-03-20 15:17:38
HADOOP-5419,Improvement,2009-03-06 13:15:20,2009-05-12 00:57:08
HADOOP-5420,Bug,2009-03-06 14:29:23,2009-06-12 17:10:14
HADOOP-5421,Bug,2009-03-06 15:11:11,2009-03-09 16:25:53
HADOOP-5422,Bug,2009-03-06 16:22:02,2009-03-07 01:21:55
HADOOP-5423,Improvement,2009-03-06 18:07:42,2009-03-26 08:22:26
HADOOP-5430,Bug,2009-03-07 02:19:29,2009-03-09 11:40:45
HADOOP-5432,Bug,2009-03-07 10:29:28,2009-03-10 14:31:53
HADOOP-5436,Bug,2009-03-07 16:02:13,2014-07-22 05:37:12
HADOOP-5437,Bug,2009-03-09 13:39:40,2009-04-06 14:31:57
HADOOP-5438,Improvement,2009-03-09 13:56:57,2009-05-25 13:25:03
HADOOP-5439,Bug,2009-03-09 14:02:02,2014-07-22 05:39:17
HADOOP-5440,Bug,2009-03-09 15:49:11,2009-03-12 20:01:39
HADOOP-5441,Improvement,2009-03-09 20:43:03,2011-05-19 06:03:38
HADOOP-5442,Bug,2009-03-10 02:14:01,2009-03-17 05:01:22
HADOOP-5446,Bug,2009-03-10 10:20:47,2009-03-13 06:49:19
HADOOP-5448,Bug,2009-03-10 13:59:37,2009-05-12 13:45:22
HADOOP-5449,Bug,2009-03-10 15:38:35,2009-03-13 13:08:25
HADOOP-5450,Improvement,2009-03-10 17:13:27,2009-04-04 07:23:27
HADOOP-5451,Bug,2009-03-10 20:29:56,2009-03-10 21:31:26
HADOOP-5454,Bug,2009-03-10 23:18:59,
HADOOP-5455,Improvement,2009-03-11 04:43:49,2009-03-12 02:57:44
HADOOP-5456,Bug,2009-03-11 06:19:00,2009-03-11 08:55:04
HADOOP-5457,Test,2009-03-07 11:54:03,2009-06-10 14:22:03
HADOOP-5458,Bug,2009-03-11 07:44:46,2009-03-11 16:18:38
HADOOP-5459,Bug,2009-03-11 13:41:15,2009-03-26 16:40:01
HADOOP-5462,Bug,2009-03-11 18:41:04,2009-04-08 22:17:39
HADOOP-5463,Bug,2009-03-12 03:44:30,2009-03-18 03:03:11
HADOOP-5464,Bug,2009-03-12 04:11:42,2009-04-01 03:40:11
HADOOP-5465,Bug,2009-03-12 07:03:36,2009-03-14 03:59:42
HADOOP-5466,Improvement,2009-03-12 07:18:30,2009-03-14 06:23:58
HADOOP-5467,New Feature,2009-03-12 09:00:09,2009-04-22 07:41:15
HADOOP-5468,Improvement,2009-03-12 09:11:56,2009-03-21 05:00:16
HADOOP-5469,New Feature,2009-03-12 09:36:51,2009-04-08 06:00:38
HADOOP-5470,Improvement,2009-03-12 10:38:27,2016-04-28 01:11:10
HADOOP-5471,Bug,2009-03-12 13:35:58,2009-03-19 18:48:21
HADOOP-5472,Bug,2009-03-12 14:17:50,2009-05-27 01:46:30
HADOOP-5473,Bug,2009-03-12 16:05:26,2009-03-30 20:04:26
HADOOP-5474,Bug,2009-03-12 16:19:24,2009-03-18 06:44:22
HADOOP-5476,Bug,2009-03-12 17:30:23,2009-05-08 09:22:02
HADOOP-5477,Bug,2009-03-12 19:34:38,2009-03-26 17:53:27
HADOOP-5479,Bug,2009-03-13 02:02:17,2009-03-18 04:03:37
HADOOP-5483,Bug,2009-03-13 08:05:56,2009-03-17 20:54:35
HADOOP-5484,Bug,2009-03-13 08:28:48,2009-03-24 08:49:56
HADOOP-5485,Improvement,2009-03-13 12:45:01,2009-04-12 16:58:56
HADOOP-5486,Bug,2009-03-13 17:09:50,2009-03-19 19:10:39
HADOOP-5488,Bug,2009-03-13 21:38:06,2009-04-22 20:26:47
HADOOP-5489,Bug,2009-03-13 22:54:41,2010-01-05 08:24:55
HADOOP-5490,Bug,2009-03-14 06:15:55,2009-03-16 16:58:03
HADOOP-5491,Bug,2009-03-14 06:43:24,2009-03-25 19:44:39
HADOOP-5493,Bug,2009-03-15 12:24:06,2009-03-17 00:24:51
HADOOP-5494,Improvement,2009-03-15 12:37:43,2009-04-15 14:14:08
HADOOP-5499,Bug,2009-03-16 19:40:08,2009-03-18 15:10:48
HADOOP-5500,Improvement,2009-03-16 21:47:47,2009-05-05 14:47:43
HADOOP-5502,Improvement,2009-03-17 03:09:43,2009-04-11 06:30:31
HADOOP-5505,Bug,2009-03-17 03:46:36,2009-03-17 06:15:53
HADOOP-5507,Bug,2009-03-17 06:50:09,2009-03-20 07:17:10
HADOOP-5509,Improvement,2009-03-17 07:33:06,2009-04-15 08:50:41
HADOOP-5511,Bug,2009-03-17 08:41:58,2009-03-17 08:49:07
HADOOP-5513,Bug,2009-03-17 13:47:47,2009-03-19 18:04:39
HADOOP-5514,Improvement,2009-03-17 14:09:34,2009-03-18 15:09:51
HADOOP-5516,Bug,2009-03-17 16:53:14,2009-03-18 21:23:27
HADOOP-5518,New Feature,2009-03-18 04:37:24,2009-04-07 05:24:26
HADOOP-5519,Improvement,2009-03-18 05:03:09,2009-03-21 09:17:28
HADOOP-5520,Improvement,2009-03-18 05:35:11,2009-03-21 08:43:23
HADOOP-5521,Improvement,2009-03-18 12:11:20,2009-03-19 20:20:42
HADOOP-5522,Bug,2009-03-18 12:52:09,2009-03-19 20:05:35
HADOOP-5527,Improvement,2009-03-18 22:41:35,2011-12-30 15:36:07
HADOOP-5528,New Feature,2009-03-19 00:41:57,2009-04-03 04:13:50
HADOOP-5529,Bug,2009-03-19 02:57:35,2009-03-19 11:45:54
HADOOP-5531,Improvement,2009-03-19 14:04:23,2009-03-24 11:55:17
HADOOP-5533,Bug,2009-03-19 15:06:54,2009-04-17 16:15:25
HADOOP-5534,Bug,2009-03-19 16:26:42,2009-03-19 21:22:19
HADOOP-5538,Test,2009-03-20 14:29:04,2009-03-27 15:20:29
HADOOP-5539,Bug,2009-03-20 14:51:59,2009-05-28 19:37:51
HADOOP-5540,Bug,2009-03-20 18:04:36,2009-03-21 01:44:43
HADOOP-5541,Bug,2009-03-20 18:31:17,2009-03-21 13:28:56
HADOOP-5547,Bug,2009-03-21 01:19:27,2011-08-12 02:09:07
HADOOP-5548,Bug,2009-03-21 04:25:54,2009-04-07 20:17:32
HADOOP-5549,Bug,2009-03-21 05:46:17,2009-03-24 01:19:28
HADOOP-5550,Bug,2009-03-22 12:20:39,2009-03-24 11:39:41
HADOOP-5551,Bug,2009-03-23 00:46:54,2009-03-31 03:09:22
HADOOP-5553,Improvement,2009-03-23 14:55:46,2009-03-24 05:07:04
HADOOP-5554,Bug,2009-03-24 01:51:05,2009-03-24 08:22:13
HADOOP-5555,Improvement,2009-03-24 02:01:14,2012-07-11 00:30:48
HADOOP-5556,Bug,2009-03-24 02:39:29,2009-09-02 09:13:22
HADOOP-5557,Bug,2009-03-24 05:13:39,2009-03-24 09:01:10
HADOOP-5558,Bug,2009-03-24 05:58:31,2009-03-24 06:02:13
HADOOP-5559,Sub-task,2009-03-24 06:00:12,2009-04-02 02:46:55
HADOOP-5560,Bug,2009-03-24 06:54:31,2009-09-18 13:26:38
HADOOP-5561,Bug,2009-03-24 07:49:25,2009-03-26 08:25:57
HADOOP-5564,Bug,2009-03-25 02:33:15,2009-03-25 03:08:04
HADOOP-5565,Bug,2009-03-25 02:56:16,2009-03-26 03:57:26
HADOOP-5566,Improvement,2009-03-25 06:34:44,2014-07-22 06:11:50
HADOOP-5569,Improvement,2009-03-25 17:19:20,2009-04-02 17:02:14
